arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	lb_area	rt_area	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	clma.blif	7e14ac5-dirty	success	-1	7.94371	3.3576e+07	6.76427e+06	18.3192	20.5988	8.42238	-1	83843	-1	-1	-1	6320	6402	3841	623	62	82	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	7e14ac5-dirty	success	-1	4.7146	2.27433e+07	4.70082e+06	11.4204	12.9338	3.27125	-1	32274	-1	-1	-1	5357	5661	2660	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	pdc.blif	7e14ac5-dirty	success	-1	6.34804	1.95635e+07	4.27232e+06	15.2074	9.158	4.5295	-1	43644	-1	-1	-1	3645	3685	1850	363	16	40	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	7e14ac5-dirty	success	-1	4.80203	1.80006e+07	3.60680e+06	7.6308	8.33736	2.41218	-1	20931	-1	-1	-1	4530	4636	1876	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	frisc.blif	7e14ac5-dirty	success	-1	8.3646	1.58448e+07	3.28210e+06	9.80954	8.65051	3.08879	-1	36860	-1	-1	-1	3834	3950	1651	294	20	116	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	7e14ac5-dirty	success	-1	5.97529	1.62221e+07	3.60680e+06	12.4899	7.01308	3.52148	-1	33354	-1	-1	-1	3021	3067	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex1010.blif	7e14ac5-dirty	success	-1	6.58166	1.67071e+07	3.60680e+06	14.6384	6.85703	3.79689	-1	37475	-1	-1	-1	3103	3113	1445	310	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	elliptic.blif	7e14ac5-dirty	success	-1	6.37346	1.15333e+07	2.39174e+06	9.16423	5.84686	2.10002	-1	21417	-1	-1	-1	3386	3500	1258	214	131	114	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s298.blif	7e14ac5-dirty	success	-1	7.92016	7.06011e+06	1.63241e+06	3.85491	2.00226	1.13045	-1	7781	-1	-1	-1	1313	1319	561	131	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex2.blif	7e14ac5-dirty	success	-1	5.16931	7.97631e+06	1.86305e+06	7.81692	2.85044	1.47095	-1	13626	-1	-1	-1	1516	1519	795	148	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	diffeq.blif	7e14ac5-dirty	success	-1	4.45094	4.68878e+06	1.01623e+06	2.75384	1.75475	0.686755	-1	6412	-1	-1	-1	1309	1348	596	87	64	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	7e14ac5-dirty	success	-1	4.22508	7.1679e+06	1.63241e+06	5.26148	2.63652	1.28323	-1	12189	-1	-1	-1	1366	1401	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C6288.blif	7e14ac5-dirty	success	-1	9.17651	2.96417e+06	712643.	1.2862	0.951947	0.449669	-1	3945	-1	-1	-1	573	605	478	55	32	32	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	7e14ac5-dirty	success	-1	4.40972	4.31152e+06	1.01623e+06	2.17112	1.63655	0.656457	-1	5082	-1	-1	-1	1234	1356	528	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	dsip.blif	7e14ac5-dirty	success	-1	2.39135	3.66479e+06	1.63241e+06	2.68182	2.57321	0.99015	-1	6396	-1	-1	-1	1133	1330	573	68	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	bigkey.blif	7e14ac5-dirty	success	-1	2.38712	3.71869e+06	1.63241e+06	3.06864	2.5162	0.989306	-1	6132	-1	-1	-1	1136	1333	497	69	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	alu4.blif	7e14ac5-dirty	success	-1	4.54909	6.35949e+06	1.43391e+06	2.95144	1.78988	0.944669	-1	6436	-1	-1	-1	1187	1195	552	118	14	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	i10.blif	7e14ac5-dirty	success	-1	5.77324	3.98816e+06	2.12844e+06	1.97914	3.3395	1.37812	-1	10765	-1	-1	-1	996	1220	785	74	257	224	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex5p.blif	7e14ac5-dirty	success	-1	3.90661	3.98816e+06	1.01623e+06	2.04744	1.36689	0.739193	-1	6585	-1	-1	-1	748	811	460	74	8	63	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	des.blif	7e14ac5-dirty	success	-1	3.02275	3.01806e+06	2.12844e+06	1.96387	2.58068	1.25924	-1	7632	-1	-1	-1	810	1055	571	56	256	245	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex4.blif	7e14ac5-dirty	success	-1	4.52065	5.22772e+06	1.23211e+06	3.05298	1.69104	0.999066	-1	10179	-1	-1	-1	979	998	582	97	9	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C7552.blif	7e14ac5-dirty	success	-1	4.61283	2.6947e+06	845940.	1.12705	1.61025	0.550101	-1	5318	-1	-1	-1	706	813	517	50	206	107	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	misex3.blif	7e14ac5-dirty	success	-1	4.20367	6.2517e+06	1.43391e+06	4.06464	1.92393	0.946921	-1	8082	-1	-1	-1	1172	1186	604	116	14	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	parker1986.blif	7e14ac5-dirty	success	-1	5.75241	2.96417e+06	712643.	1.79515	1.12794	0.460171	-1	5390	-1	-1	-1	753	762	435	55	50	9	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C5315.blif	7e14ac5-dirty	success	-1	4.09733	2.15576e+06	845940.	0.962835	1.45163	0.535081	-1	4977	-1	-1	-1	577	700	463	40	178	123	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex3.blif	7e14ac5-dirty	success	-1	4.35908	3.93426e+06	1.01623e+06	3.16874	1.43773	0.744385	-1	7057	-1	-1	-1	783	833	479	73	54	50	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s5378.blif	7e14ac5-dirty	success	-1	3.0831	2.37134e+06	571945.	0.994595	0.804749	0.324356	-1	3250	-1	-1	-1	615	664	342	44	36	49	0	0		
