arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	clma.blif	7e14ac5-dirty	success	-1	8.51904	17.3445	17.6182	5.69731	-1	87558	-1	-1	-1	6320	6402	3841	623	62	82	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	7e14ac5-dirty	success	-1	4.88731	10.2789	10.6142	2.61514	-1	35565	-1	-1	-1	5357	5661	2660	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	pdc.blif	7e14ac5-dirty	success	-1	6.42855	13.8031	7.49959	3.28538	-1	44773	-1	-1	-1	3645	3685	1850	363	16	40	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	7e14ac5-dirty	success	-1	5.39668	6.90754	7.28829	1.82412	-1	23298	-1	-1	-1	4530	4636	1876	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	frisc.blif	7e14ac5-dirty	success	-1	9.00355	8.90778	7.42001	2.26749	-1	39069	-1	-1	-1	3834	3950	1651	294	20	116	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	7e14ac5-dirty	success	-1	6.32521	11.3668	5.91783	2.48212	-1	34936	-1	-1	-1	3021	3067	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex1010.blif	7e14ac5-dirty	success	-1	6.67129	13.2602	5.72867	2.91116	-1	38571	-1	-1	-1	3103	3113	1445	310	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	elliptic.blif	7e14ac5-dirty	success	-1	7.08327	8.27028	4.69664	1.52829	-1	22567	-1	-1	-1	3386	3500	1258	214	131	114	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s298.blif	7e14ac5-dirty	success	-1	8.80173	3.58192	1.79764	0.866742	-1	8375	-1	-1	-1	1313	1319	561	131	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex2.blif	7e14ac5-dirty	success	-1	5.33796	7.53461	2.73817	1.2665	-1	14830	-1	-1	-1	1516	1519	795	148	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	diffeq.blif	7e14ac5-dirty	success	-1	4.85355	2.62786	1.57052	0.518619	-1	7030	-1	-1	-1	1309	1348	596	87	64	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	7e14ac5-dirty	success	-1	4.29055	4.86719	2.26207	0.945692	-1	12968	-1	-1	-1	1366	1401	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C6288.blif	7e14ac5-dirty	success	-1	9.4878	1.21867	0.821793	0.353898	-1	4524	-1	-1	-1	573	605	478	55	32	32	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	7e14ac5-dirty	success	-1	5.08946	2.01304	1.4027	0.478038	-1	5892	-1	-1	-1	1234	1356	528	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	dsip.blif	7e14ac5-dirty	success	-1	2.44291	2.30545	2.06692	0.735524	-1	7507	-1	-1	-1	1133	1330	573	68	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	bigkey.blif	7e14ac5-dirty	success	-1	2.4578	3.02673	2.27277	0.827116	-1	6523	-1	-1	-1	1136	1333	497	69	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	alu4.blif	7e14ac5-dirty	success	-1	4.6831	2.87216	1.61459	0.75924	-1	7230	-1	-1	-1	1187	1195	552	118	14	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	i10.blif	7e14ac5-dirty	success	-1	6.20406	1.84787	2.92767	1.05609	-1	11780	-1	-1	-1	996	1220	785	74	257	224	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex5p.blif	7e14ac5-dirty	success	-1	4.2954	1.9307	1.11183	0.564245	-1	7145	-1	-1	-1	748	811	460	74	8	63	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	des.blif	7e14ac5-dirty	success	-1	3.01891	1.83357	2.21343	0.956409	-1	8287	-1	-1	-1	810	1055	571	56	256	245	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex4.blif	7e14ac5-dirty	success	-1	4.7636	2.96791	1.34219	0.70111	-1	10555	-1	-1	-1	979	998	582	97	9	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C7552.blif	7e14ac5-dirty	success	-1	4.98317	1.01874	1.52235	0.419382	-1	5940	-1	-1	-1	706	813	517	50	206	107	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	misex3.blif	7e14ac5-dirty	success	-1	4.32994	3.67764	1.72475	0.837143	-1	8434	-1	-1	-1	1172	1186	604	116	14	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	parker1986.blif	7e14ac5-dirty	success	-1	6.39989	1.85191	0.995127	0.360986	-1	5580	-1	-1	-1	753	762	435	55	50	9	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C5315.blif	7e14ac5-dirty	success	-1	4.38753	0.950449	1.27525	0.449584	-1	5802	-1	-1	-1	577	700	463	40	178	123	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex3.blif	7e14ac5-dirty	success	-1	4.59863	2.99616	1.30037	0.638678	-1	7630	-1	-1	-1	783	833	479	73	54	50	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s5378.blif	7e14ac5-dirty	success	-1	3.41734	0.996844	0.760351	0.290994	-1	3563	-1	-1	-1	615	664	342	44	36	49	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	cps.blif	7e14ac5-dirty	success	-1	3.3896	2.46239	1.09812	0.489882	-1	5231	-1	-1	-1	668	777	373	65	24	109	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex1.blif	7e14ac5-dirty	success	-1	4.26699	2.15396	1.00176	0.420068	-1	6375	-1	-1	-1	637	682	418	60	45	45	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C3540.blif	7e14ac5-dirty	success	-1	5.33852	0.991658	0.509252	0.228149	-1	2894	-1	-1	-1	386	408	260	34	50	22	0	0		
