arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	z4ml.blif	e48d751-dirty	success	-1	1.14781	-1	-1	0.009245	-1	20	-1	-1	-1	-1	-1	11	1	7	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	xor5.blif	e48d751-dirty	success	-1	0.715971	-1	-1	0.00895	-1	6	-1	-1	-1	-1	-1	6	1	5	1	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x4.blif	e48d751-dirty	success	-1	2.16218	-1	-1	0.145425	-1	1143	-1	-1	-1	-1	-1	173	12	94	71	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x3.blif	e48d751-dirty	success	-1	2.22923	-1	-1	0.24684	-1	2024	-1	-1	-1	-1	-1	263	23	135	99	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x2.blif	e48d751-dirty	success	-1	1.48052	-1	-1	0.019076	-1	41	-1	-1	-1	-1	-1	17	2	10	7	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x1.blif	e48d751-dirty	success	-1	2.21856	-1	-1	0.073306	-1	683	-1	-1	-1	-1	-1	87	9	51	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	vg2.blif	e48d751-dirty	success	-1	1.96809	-1	-1	0.039953	-1	251	-1	-1	-1	-1	-1	45	4	25	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	vda.blif	e48d751-dirty	success	-1	3.11797	-1	-1	0.159389	-1	1482	-1	-1	-1	-1	-1	139	22	17	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	unreg.blif	e48d751-dirty	success	-1	1.07262	-1	-1	0.022777	-1	135	-1	-1	-1	-1	-1	52	2	36	16	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ttt2.blif	e48d751-dirty	success	-1	1.70711	-1	-1	0.039007	-1	243	-1	-1	-1	-1	-1	51	4	24	21	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	e48d751-dirty	success	-1	4.52336	-1	-1	0.48287	-1	5180	-1	-1	-1	-1	-1	528	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	traffic.blif	e48d751-dirty	success	-1	1.18672	-1	-1	0.035707	-1	71	-1	-1	-1	-1	-1	20	3	6	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	too-lrg.blif	e48d751-dirty	success	-1	2.85468	-1	-1	0.107959	-1	779	-1	-1	-1	-1	-1	96	14	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	term1.blif	e48d751-dirty	success	-1	2.30211	-1	-1	0.066904	-1	363	-1	-1	-1	-1	-1	56	7	34	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tcon.blif	e48d751-dirty	success	-1	1.14514	-1	-1	0.023077	-1	104	-1	-1	-1	-1	-1	25	1	17	16	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tbk.blif	e48d751-dirty	success	-1	3.21158	-1	-1	0.062831	-1	263	-1	-1	-1	-1	-1	53	8	7	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tav.blif	e48d751-dirty	success	-1	0.858774	-1	-1	0.00924	-1	12	-1	-1	-1	-1	-1	9	1	5	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	table5.blif	e48d751-dirty	success	-1	3.72446	-1	-1	0.396461	-1	3887	-1	-1	-1	-1	-1	263	41	17	15	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	table3.blif	e48d751-dirty	success	-1	3.62923	-1	-1	0.412691	-1	3566	-1	-1	-1	-1	-1	248	41	14	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	t481.blif	e48d751-dirty	success	-1	3.20137	-1	-1	0.141856	-1	783	-1	-1	-1	-1	-1	90	15	16	1	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	styr.blif	e48d751-dirty	success	-1	2.55254	-1	-1	0.099959	-1	504	-1	-1	-1	-1	-1	74	16	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sse.blif	e48d751-dirty	success	-1	2.31241	-1	-1	0.043414	-1	163	-1	-1	-1	-1	-1	31	4	8	7	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	squar5.blif	e48d751-dirty	success	-1	1.05096	-1	-1	0.010973	-1	33	-1	-1	-1	-1	-1	13	1	5	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sqrt8ml.blif	e48d751-dirty	success	-1	1.2152	-1	-1	0.010449	-1	22	-1	-1	-1	-1	-1	12	1	8	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sqrt8.blif	e48d751-dirty	success	-1	1.60838	-1	-1	0.026273	-1	48	-1	-1	-1	-1	-1	14	2	8	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	e48d751-dirty	success	-1	6.17844	-1	-1	2.98627	-1	33133	-1	-1	-1	-1	-1	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	shiftreg.blif	e48d751-dirty	success	-1	0.571	-1	-1	0.009278	-1	4	-1	-1	-1	-1	-1	3	1	2	1	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	e48d751-dirty	success	-1	4.13657	-1	-1	1.01638	-1	12110	-1	-1	-1	-1	-1	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sct.blif	e48d751-dirty	success	-1	1.42378	-1	-1	0.021444	-1	110	-1	-1	-1	-1	-1	33	2	19	15	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	scf.blif	e48d751-dirty	success	-1	2.73479	-1	-1	0.195752	-1	1619	-1	-1	-1	-1	-1	188	30	28	56	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sbc.blif	e48d751-dirty	success	-1	2.56575	-1	-1	0.197159	-1	1815	-1	-1	-1	-1	-1	201	26	41	56	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sao2.blif	e48d751-dirty	success	-1	2.36273	-1	-1	0.063202	-1	250	-1	-1	-1	-1	-1	42	8	10	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	sand.blif	e48d751-dirty	success	-1	2.46972	-1	-1	0.106769	-1	641	-1	-1	-1	-1	-1	83	17	12	9	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	e48d751-dirty	success	-1	4.97905	-1	-1	2.61684	-1	32583	-1	-1	-1	-1	-1	2660	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	e48d751-dirty	success	-1	4.86087	-1	-1	1.93879	-1	21409	-1	-1	-1	-1	-1	1876	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s9234.1.blif	e48d751-dirty	success	-1	3.26343	-1	-1	0.206141	-1	2392	-1	-1	-1	-1	-1	273	35	29	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s5378.blif	e48d751-dirty	success	-1	3.17406	-1	-1	0.259997	-1	3346	-1	-1	-1	-1	-1	342	44	36	49	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s1494.blif	e48d751-dirty	success	-1	2.32511	-1	-1	0.098419	-1	629	-1	-1	-1	-1	-1	82	19	9	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s1488.blif	e48d751-dirty	success	-1	2.67339	-1	-1	0.100828	-1	637	-1	-1	-1	-1	-1	82	18	9	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s1423.blif	e48d751-dirty	success	-1	5.22927	-1	-1	0.095379	-1	834	-1	-1	-1	-1	-1	140	18	18	5	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s1238.blif	e48d751-dirty	success	-1	3.31888	-1	-1	0.112783	-1	1007	-1	-1	-1	-1	-1	119	18	15	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s1196.blif	e48d751-dirty	success	-1	3.03642	-1	-1	0.102317	-1	807	-1	-1	-1	-1	-1	106	17	15	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s953.blif	e48d751-dirty	success	-1	2.09601	-1	-1	0.108623	-1	830	-1	-1	-1	-1	-1	112	16	17	23	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s838.blif	e48d751-dirty	success	-1	3.31722	-1	-1	0.062917	-1	511	-1	-1	-1	-1	-1	105	10	36	2	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s838.1.blif	e48d751-dirty	success	-1	2.81469	-1	-1	0.063144	-1	328	-1	-1	-1	-1	-1	90	8	35	1	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s832.blif	e48d751-dirty	success	-1	1.92449	-1	-1	0.064756	-1	413	-1	-1	-1	-1	-1	62	9	19	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s820.blif	e48d751-dirty	success	-1	1.99883	-1	-1	0.065012	-1	407	-1	-1	-1	-1	-1	66	9	19	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s713.blif	e48d751-dirty	success	-1	2.99148	-1	-1	0.065702	-1	395	-1	-1	-1	-1	-1	89	8	36	23	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s641.blif	e48d751-dirty	success	-1	3.01495	-1	-1	0.063405	-1	450	-1	-1	-1	-1	-1	92	8	36	23	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s526n.blif	e48d751-dirty	success	-1	1.71544	-1	-1	0.035218	-1	126	-1	-1	-1	-1	-1	27	4	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s526.blif	e48d751-dirty	success	-1	1.37013	-1	-1	0.03773	-1	134	-1	-1	-1	-1	-1	29	4	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s510.blif	e48d751-dirty	success	-1	2.04872	-1	-1	0.037342	-1	223	-1	-1	-1	-1	-1	53	6	20	7	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s444.blif	e48d751-dirty	success	-1	1.53596	-1	-1	0.035332	-1	73	-1	-1	-1	-1	-1	24	4	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s420.blif	e48d751-dirty	success	-1	1.3389	-1	-1	0.01896	-1	24	-1	-1	-1	-1	-1	15	2	9	2	0	0		
